area,bathroom_num,bedroom_num,locality,price
1400.0,3.0,3,Malad,44000
1375.0,2.0,3,Kandivali,44400
1550.0,2.0,3,Devi Pada,45000
1150.0,2.0,3,Datta Pada,35000
1150.0,2.0,3,Borivali,45000
1350.0,2.0,3,Borivali,43000
1190.0,2.0,3,Jankalyan Nagar,42000
1211.0,3.0,3,Jankalyan Nagar,40000
1150.0,2.0,3,Datta Pada,35000
1349.0,3.0,3,Magathane,42000
1450.0,2.0,3,"ThakurVillage,Kandivali",42000
1350.0,3.0,3,Samata Nagar,42000
1150.0,2.0,3,Samata Nagar,40000
1218.0,2.0,3,Bhandup,40000
1219.0,2.0,3,Bhandup,38000
1250.0,2.0,3,Magathane,37000
1200.0,3.0,3,Magathane,37000
1160.0,3.0,3,Bhandup,45000
1300.0,3.0,4,Mulund,50000
1650.0,4.0,4,Ghatkopar,50000
1440.0,3.0,4,Mulund,50000
1800.0,4.0,4,"ThakurVillage,Kandivali",52000
1800.0,4.0,4,"ThakurVillage,Kandivali",54500
1800.0,4.0,4,"ThakurVillage,Kandivali",54500
1700.0,3.0,4,"ThakurVillage,Kandivali",55000
2100.0,3.0,4,Kanjurmarg,55000
1200.0,3.0,4,VileParle,55000
1765.0,3.0,4,"ThakurVillage,Kandivali",57000
1786.0,4.0,4,"ThakurVillage,Kandivali",57000
1730.0,4.0,4,Mulund,60000
1980.0,4.0,4,Madh,60000
1800.0,4.0,4,Kanjurmarg,58000
1900.0,4.0,4,"ThakurVillage,Kandivali",60000
1850.0,4.0,4,Upper Govind Nagar,60000
1450.0,2.0,4,Mulund,60000
1300.0,4.0,4,Mulund,60000
1100.0,3.0,3,Others,55000
900.0,2.0,3,Others,49220
1100.0,3.0,3,Others,50000
1478.0,3.0,3,Mulund,47000
1400.0,3.0,3,Mulund,47000
1092.0,2.0,3,Mulund,47001
1500.0,3.0,3,Mulund,48000
2260.0,3.0,4,Mulund,62000
1385.0,3.0,4,Mulund,63000
1800.0,3.0,4,Bhandup,63000
1630.0,4.0,4,Malad,62000
2100.0,5.0,4,Mulund,62000
2380.0,4.0,4,Gokuldham,78000
2030.0,5.0,4,Mulund,70000
3010.0,4.0,4,Mulund,75000
1700.0,3.0,4,Powai,75000
2100.0,4.0,4,Mulund,74000
1700.0,3.0,4,Powai,75000
2016.0,4.0,4,Malad,70000
3000.0,4.0,4,Mulund,75000
1700.0,3.0,4,Powai,75000
1896.0,4.0,4,Gokuldham,75000
1990.0,4.0,4,Andheri,75000
1700.0,3.0,4,Powai,75000
2800.0,5.0,4,Mulund,75000
2000.0,4.0,4,Magathane,77000
1700.0,3.0,4,Powai,75000
2800.0,2.0,4,Malad,70000
1500.0,3.0,4,Powai,75000
3050.0,6.0,4,Mulund,75000
2900.0,5.0,4,Mulund,75000
2800.0,4.0,4,Gokuldham,75000
2415.0,4.0,4,"ThakurVillage,Kandivali",75000
2600.0,4.0,4,Kandivali,76000
2000.0,5.0,4,Mulund,74000
2100.0,5.0,4,Lokhandwala Twp,65000
2860.0,3.0,4,Film City Road,79000
3150.0,6.0,4,Mulund,75000
1950.0,3.0,4,Madh,75000
3150.0,6.0,4,Mulund,75000
2100.0,4.0,4,Malad,70000
2400.0,4.0,4,LBS Marg,75000
3150.0,6.0,4,Mulund,75000
2250.0,4.0,4,Others,70000
2050.0,4.0,4,Mulund,71000
2450.0,5.0,4,Malad,70000
1850.0,4.0,4,Powai,65000
2100.0,4.0,4,Mindspace,75000
1850.0,3.0,4,Raheja Vihar,78000
1650.0,3.0,4,"ThakurVillage,Kandivali",75000
1990.0,4.0,4,Andheri,75000
2580.0,4.0,4,Goregaon,75000
2600.0,4.0,4,Film City Road,75000
4100.0,4.0,4,Sher E Punjab Society,75000
1800.0,4.0,4,Lokhandwala Complex,75000
2200.0,4.0,4,Ghatkopar,65000
1650.0,3.0,4,Mulund,65000
3000.0,3.0,4,Vikhroli,70000
2110.0,4.0,4,Mahavir Nagar,75000
1620.0,3.0,4,Mulund,70000
2600.0,4.0,4,Ghatkopar,65000
2016.0,4.0,4,Malad,70000
1350.0,3.0,4,Mulund,65000
2500.0,4.0,4,Mulund,75000
2400.0,4.0,4,Andheri,79000
1990.0,4.0,4,Andheri,75000
2000.0,4.0,4,Mulund,72000
2450.0,4.0,4,Lokhandwala Twp,75000
2400.0,4.0,4,Gokuldham,75000
2580.0,4.0,4,Goregaon,70000
2016.0,4.0,4,Malad,70000
2580.0,4.0,4,Goregaon,68000
305.0,1.0,1,Vikhroli,11000
650.0,2.0,1,Others,11500
630.0,2.0,1,Virar,10500
450.0,2.0,1,Kandivali,12500
340.0,2.0,1,Kandivali,11000
560.0,2.0,1,Others,12000
600.0,1.0,1,Beverly Park,12000
650.0,2.0,1,Hatkesh Udyog,12000
400.0,2.0,1,Kandivali,12000
650.0,2.0,1,Mira Road,12000
610.0,2.0,1,Mira Road,12500
600.0,1.0,1,Mira Road,12000
650.0,1.0,1,Mira Bhayandar,12000
380.0,1.0,1,Thakur Complex,12500
500.0,1.0,1,Mira Bhayandar,12000
340.0,2.0,1,Kandivali,11000
600.0,1.0,1,Mira Bhayandar,12000
340.0,1.0,1,Aarey Milk Colony,12500
340.0,1.0,1,Kandivali,12000
350.0,1.0,1,"ThakurVillage,Kandivali",12500
520.0,2.0,1,Mira Bhayandar,10200
535.0,2.0,1,Mira Road,12500
498.0,1.0,1,Malad,12000
350.0,1.0,1,Thakur Complex,12000
560.0,1.0,1,Mira Bhayandar,12000
450.0,1.0,1,Goregaon,11000
560.0,1.0,1,Bhayandar,11000
650.0,1.0,1,Mira Road,12000
350.0,1.0,1,Others,11000
300.0,2.0,1,AshokNagarWestern,12500
570.0,1.0,1,Mira Road,12000
675.0,2.0,1,Vasai,10500
550.0,1.0,1,Mira Road,12000
750.0,2.0,1,Virar,12000
575.0,2.0,1,Mira Road,12000
645.0,2.0,1,Mira Road,12500
629.0,1.0,1,Mira Road,11000
455.0,1.0,1,Beverly Park,11000
400.0,1.0,1,Others,12000
600.0,1.0,1,Kalyan,12000
640.0,1.0,1,Vasai,12000
340.0,1.0,1,Ekta Nagar,11000
350.0,1.0,1,Thakur Complex,12500
350.0,1.0,1,Thakur Complex,12000
585.0,2.0,1,Mira Road,12500
300.0,1.0,1,Andheri,11000
500.0,1.0,1,Mira Road,12200
541.0,1.0,1,Bhayandar,12000
300.0,1.0,1,Chandivali,12000
720.0,2.0,1,Kalyan,10437
750.0,1.0,1,Kalyan,12000
360.0,1.0,1,Others,12500
500.0,1.0,1,Thane-Kalyan-Dombivli,11500
510.0,1.0,1,Virar,12000
300.0,2.0,1,Malad,12000
600.0,1.0,1,Kalyan,10500
300.0,1.0,1,Powai,12000
330.0,1.0,1,Virar,12000
525.0,1.0,1,Vasai,12000
540.0,2.0,1,Bhayandar,12000
500.0,1.0,1,Mira Road,12500
510.0,1.0,1,Mira Road,11000
350.0,1.0,1,Mulund,12500
450.0,1.0,1,Kandivali,12000
310.0,1.0,1,Others,12500
400.0,1.0,1,Mira Road,10500
730.0,1.0,1,Others,12500
460.0,1.0,1,Mira Road,12000
400.0,1.0,1,Kandivali,11000
600.0,1.0,1,Vasai,11000
300.0,1.0,1,Others,11000
500.0,2.0,1,Malad,12000
400.0,1.0,1,Bhandup,11000
300.0,1.0,1,Goregaon,12000
400.0,1.0,1,IC Colony,12500
560.0,1.0,1,Mira Road,11000
489.0,1.0,1,Elphinstone,10333
500.0,1.0,1,Andheri,12500
850.0,1.0,1,Andheri,12000
550.0,2.0,1,Jankalyan Nagar,12000
510.0,1.0,1,Kandivali,12000
560.0,2.0,1,Others,12000
695.0,2.0,1,Beverly Park,12500
680.0,2.0,1,Beverly Park,11500
540.0,1.0,1,Poonam Sagar,12500
340.0,2.0,1,Kandivali,11000
521.0,1.0,1,Royal Palms Estate,12500
340.0,1.0,1,Ekta Nagar,11300
525.0,2.0,1,Malad,12500
350.0,1.0,1,Gokuldham,12000
625.0,1.0,1,Mira Road,12000
335.0,1.0,1,Others,12000
300.0,1.0,1,Asha Nagar,12500
560.0,1.0,1,Mira Road,11000
850.0,2.0,1,Mira Bhayandar,12000
320.0,1.0,1,Others,12000
550.0,2.0,1,Bhayandar,10500
340.0,1.0,1,Jankalyan Nagar,11000
560.0,1.0,1,Mira Bhayandar,11000
650.0,1.0,1,Ramdev Park,12500
540.0,1.0,1,Poonam Sagar,11000
380.0,2.0,1,Kandivali,12000
342.0,1.0,1,Malad,12000
350.0,1.0,1,Thakur Complex,12500
700.0,1.0,1,Gokuldham,11000
610.0,1.0,1,Mira Road,12500
585.0,1.0,1,Mira Road,12000
600.0,2.0,1,Mira Road,12000
650.0,1.0,1,Mira Road,11900
540.0,1.0,1,Mira Road,11000
340.0,2.0,1,Kandivali,12000
300.0,1.0,1,Kandivali,11500
560.0,1.0,1,Mira Bhayandar,11000
560.0,1.0,1,Mira Road,12000
600.0,2.0,1,Mira Road,12500
340.0,1.0,1,Kandivali,11750
650.0,1.0,1,Bhayandar,11000
560.0,1.0,1,Others,12500
600.0,1.0,1,Mira Road,11000
340.0,1.0,1,Kandivali,12000
560.0,1.0,1,Mira Bhayandar,12000
590.0,2.0,1,Mira Road,11000
380.0,1.0,1,Kandivali,11000
570.0,2.0,1,Mira Road,12000
340.0,1.0,1,Malad,11000
550.0,1.0,1,Andheri,12000
600.0,1.0,1,Mira Road,11000
340.0,1.0,1,Kandivali,12200
380.0,2.0,1,Kandivali,11000
380.0,2.0,1,Kandivali,11500
550.0,1.0,1,Mira Road,10500
340.0,2.0,1,Malad,12000
380.0,2.0,1,Kandivali,12000
550.0,1.0,1,Mira Bhayandar,11000
340.0,1.0,1,Kandivali,11500
340.0,1.0,1,Malad,11500
340.0,1.0,1,Malad,11000
380.0,1.0,1,Malad,10500
340.0,1.0,1,Kandivali,11500
380.0,1.0,1,Malad,10500
2580.0,4.0,4,Gokuldham,90000
2365.0,5.0,4,Powai,100000
3600.0,5.0,4,Mulund,80000
2400.0,4.0,4,Mulund,80000
2365.0,4.0,4,Chandivali,95000
2205.0,4.0,4,Goregaon,100000
2215.0,4.0,4,Veena Nagar,85000
2465.0,4.0,4,Gokuldham,100000
1995.0,4.0,4,Andheri,85000
1800.0,4.0,4,Aarey Milk Colony,85000
2525.0,4.0,4,Andheri,100000
2090.0,4.0,4,Goregaon,95000
2365.0,5.0,4,Powai,100000
1800.0,4.0,4,Chembur,99000
1610.0,4.0,4,Malad,85000
2500.0,4.0,4,4 Bunglows,100000
2726.0,4.0,4,Malad,80000
2400.0,4.0,4,CAMA Industrial Estate,100000
2000.0,4.0,4,Andheri,91000
1500.0,3.0,4,Chandivali,90000
2400.0,4.0,4,Andheri,80000
2250.0,5.0,4,Others,100000
2400.0,4.0,4,CAMA Industrial Estate,95000
2950.0,6.0,4,Mulund,80000
1500.0,4.0,4,Chembur,100000
2065.0,4.0,4,Goregaon,100000
2500.0,4.0,4,Goregaon,100000
3010.0,6.0,4,Mulund,81000
1850.0,4.0,4,Goregaon,85000
2000.0,4.0,4,Chembur,95000
2320.0,4.0,4,Chembur,80000
1700.0,4.0,4,Chembur,100000
2050.0,4.0,4,Andheri,100000
1900.0,4.0,4,Goregaon,85000
2750.0,4.0,4,Madh,85000
1750.0,3.0,4,Others,100000
3000.0,4.0,4,Mulund,80000
2850.0,3.0,4,Gokuldham,100000
1900.0,5.0,4,Goregaon,100000
1200.0,3.0,4,Juhu,95000
2000.0,4.0,4,Andheri,100000
2580.0,4.0,4,Goregaon,100000
2850.0,4.0,4,Madh,85000
2600.0,6.0,4,Kanch Pada,100000
3150.0,4.0,4,Mulund,80000
2500.0,4.0,4,Santacruz,80000
2500.0,4.0,4,Chembur,95000
2400.0,4.0,4,Gokuldham,85000
2811.0,4.0,4,Gokuldham,90000
2400.0,4.0,4,Goregaon,95000
2700.0,4.0,4,Andheri,90000
2805.0,4.0,4,Chembur,95000
2034.0,3.0,4,Vikhroli,90000
2000.0,4.0,4,Unnat Nagar,90000
1550.0,4.0,4,JB Nagar,100000
1900.0,4.0,4,Andheri,90000
1855.0,3.0,4,Chembur,80000
2200.0,4.0,4,Chembur,100000
2000.0,4.0,4,Unnat Nagar,83000
1500.0,4.0,4,Tilak Nagar - Harbour Line,85000
2000.0,4.0,4,Veera Desai Road,90000
1640.0,3.0,4,Andheri,80000
2304.0,4.0,4,Goregaon,90000
1700.0,4.0,4,Andheri,85000
3500.0,4.0,4,Madh,80000
2500.0,6.0,4,Kanch Pada,90000
1400.0,3.0,4,Chembur,95000
2200.0,5.0,4,Powai,95000
2100.0,3.0,4,Malad,80000
1800.0,4.0,4,Andheri,90000
2368.0,3.0,4,Unnat Nagar,80000
2150.0,4.0,4,Goregaon,100000
2600.0,4.0,4,Andheri,100000
3200.0,4.0,4,Gokuldham,95000
1700.0,3.0,4,VileParle,85000
2811.0,4.0,4,Gokuldham,95000
2250.0,4.0,4,Goregaon,100000
2722.0,4.0,4,Goregaon,82000
1800.0,4.0,4,Juhu Versova Link,90000
2412.0,4.0,4,Others,80000
2800.0,3.0,4,Ghatkopar,100000
3200.0,6.0,4,CAMA Industrial Estate,100000
2530.0,4.0,4,Andheri,85000
2811.0,4.0,4,Gokuldham,85000
2415.0,4.0,4,"ThakurVillage,Kandivali",80000
2250.0,4.0,4,BEST Housing Colony,80000
2200.0,4.0,4,Powai,95000
2100.0,3.0,4,Chembur,95000
2300.0,4.0,4,Chembur,90000
2534.0,3.0,4,Mulund,85000
1800.0,4.0,4,Goregaon,95000
1809.0,4.0,4,Oshiwara,80000
2400.0,4.0,4,Malad,100000
2580.0,4.0,4,Goregaon,80000
1800.0,3.0,4,Chembur,100000
1850.0,4.0,4,Powai,83000
2726.0,4.0,4,Malad,85000
2200.0,4.0,4,Andheri,100000
2200.0,4.0,4,Chembur,95000
2020.0,3.0,4,Chembur,100000
1800.0,4.0,4,Andheri,85000
1500.0,4.0,4,Andheri,90000
1954.0,4.0,4,Marol Maroshi,85000
2400.0,4.0,4,Kanch Pada,100000
3000.0,5.0,4,Mulund,80000
1710.0,3.0,4,Oshiwara,85000
2150.0,3.0,4,Ghatkopar,95000
2450.0,4.0,4,Goregaon,95000
3125.0,4.0,4,BEST Housing Colony,100000
1850.0,3.0,4,Oshiwara,100000
3251.0,4.0,4,Magathane,90000
2365.0,5.0,4,Powai,95000
2850.0,6.0,4,Mulund,80000
2000.0,3.0,4,Goregaon,100000
2800.0,3.0,4,Borivali,85000
3500.0,6.0,4,Chembur,100000
1500.0,3.0,4,Oshiwara,90000
1650.0,4.0,4,Ghatkopar,88000
1850.0,4.0,4,Andheri,90000
2475.0,4.0,4,Chembur,100000
1700.0,3.0,4,Oshiwara,80000
2080.0,4.0,4,Others,85000
2540.0,4.0,4,Borivali,80000
2300.0,4.0,4,Mulund,90000
1400.0,4.0,4,Chembur,85000
1950.0,4.0,4,Andheri,85000
3000.0,4.0,4,Oshiwara,85000
1500.0,3.0,4,Others,100000
1990.0,4.0,4,Andheri,100000
1990.0,4.0,4,Andheri,100000
1350.0,3.0,4,Andheri,90000
1500.0,3.0,4,Chembur,80000
1700.0,5.0,4,Chembur,99000
1250.0,3.0,4,Andheri,90000
2400.0,4.0,4,Goregaon,82000
2625.0,4.0,4,Link Road,95000
3600.0,5.0,4,Mulund,85000
2500.0,4.0,4,Goregaon,80000
2250.0,5.0,4,Sarvodaya Nagar,80000
1995.0,4.0,4,Andheri,85000
2090.0,4.0,4,Goregaon,95000
2360.0,4.0,4,Powai lake,99500
1600.0,4.0,4,Others,85000
2500.0,4.0,4,4 Bunglows,100000
2500.0,4.0,4,Malad,80000
2400.0,4.0,4,Andheri,79999
3150.0,6.0,4,Mulund,85000
1500.0,4.0,4,Chembur,100000
2500.0,4.0,4,Goregaon,85000
2400.0,4.0,4,Goregaon,85000
2240.0,4.0,4,Chembur,95000
1400.0,3.0,4,VileParle,99000
1700.0,3.0,4,VileParle,85000
2850.0,4.0,4,Madh,85000
3150.0,4.0,4,Mulund,80000
2100.0,4.0,4,Chembur,100000
2450.0,4.0,4,Gokuldham,80000
2811.0,4.0,4,Goregaon,85000
2450.0,4.0,4,Goregaon,90000
2300.0,4.0,4,Andheri,95000
1800.0,4.0,4,Veera Desai Road,95000
2800.0,5.0,4,Goregaon,87000
1900.0,4.0,4,Andheri,100000
1500.0,4.0,4,Chembur,100000
2811.0,4.0,4,Gokuldham,90000
1980.0,3.0,4,Vikhroli,85000
3200.0,6.0,4,CAMA Industrial Estate,100000
1914.0,3.0,4,Bimbisar Nagar,90000
2000.0,4.0,4,Lokhandwala Complex,99000
2365.0,4.0,4,Powai,90000
1800.0,4.0,4,Shri Swami Samarth Nagar,89000
1318.0,4.0,4,Andheri,90000
2400.0,4.0,4,Gokuldham,100000
1950.0,4.0,4,Chembur,90000
2400.0,4.0,4,Kanch Pada,100000
3000.0,4.0,4,Nahur,80000
2700.0,4.0,4,Borivali,85000
2000.0,4.0,4,Chembur,85000
3000.0,4.0,4,Lokhandwala Complex,85000
2150.0,4.0,4,Link Road,80000
2500.0,4.0,4,Goregaon,95000
1995.0,4.0,4,Andheri,85000
2325.0,4.0,4,Goregaon,95000
2200.0,4.0,4,Goregaon,95000
2500.0,4.0,4,Chembur,90000
1700.0,4.0,4,VileParle,85000
2850.0,4.0,4,Madh,85000
2250.0,4.0,4,Chembur,90000
2811.0,4.0,4,Gokuldham,90000
2811.0,4.0,4,Gokuldham,90000
2420.0,4.0,4,Goregaon,90000
2550.0,4.0,4,4 Bunglows,85000
1500.0,3.0,4,Shastri Nagar,90000
2800.0,5.0,4,Goregaon,85000
2000.0,4.0,4,Lokhandwala Complex,100000
2811.0,4.0,4,Gokuldham,95000
2730.0,3.0,4,CAMA Industrial Estate,82000
2205.0,5.0,4,CAMA Industrial Estate,85000
1914.0,3.0,4,Bimbisar Nagar,80000
1800.0,4.0,4,Oshiwara,90000
1650.0,4.0,4,D.N. Nagar,99000
1995.0,4.0,4,Andheri,90000
2090.0,4.0,4,Goregaon,95000
2500.0,4.0,4,Goregaon,80000
2240.0,3.0,4,Chembur,90000
5000.0,4.0,4,VileParle,85000
2170.0,4.0,4,Chembur,92300
2120.0,4.0,4,Andheri,100000
1400.0,4.0,4,Lokhandwala Complex,85000
1600.0,4.0,4,Lokhandwala Complex,100000
2580.0,4.0,4,Gokuldham,80000
2205.0,3.0,4,CAMA Industrial Estate,85000
1914.0,3.0,4,Bimbisar Nagar,90000
2795.0,4.0,4,BestNagar-Goregaon,100000
2000.0,4.0,4,Chembur,85000
2000.0,4.0,4,Andheri,88000
2315.0,4.0,4,Goregaon,95000
2150.0,4.0,4,Swastik Park,85000
2572.0,4.0,4,Andheri,95000
1800.0,3.0,4,Oshiwara,100000
2600.0,4.0,4,Gokuldham,90000
2400.0,4.0,4,CAMA Industrial Estate,100000
2811.0,4.0,4,Film City Road,90000
2795.0,4.0,4,BestNagar-Goregaon,100000
1700.0,4.0,4,Andheri,85000
2315.0,4.0,4,Goregaon,90000
2400.0,4.0,4,Andheri,90000
2540.0,4.0,4,Gokuldham,80000
3200.0,6.0,4,CAMA Industrial Estate,100000
1900.0,3.0,4,Marol,93000
2500.0,4.0,4,Oshiwara,99000
2402.0,4.0,4,Goregaon,95000
2750.0,4.0,4,Andheri,95000
3200.0,6.0,4,CAMA Industrial Estate,100000
1800.0,3.0,4,Marol,90000
2090.0,4.0,4,BestNagar-Goregaon,100000
2500.0,4.0,4,Andheri,85000
3200.0,6.0,4,CAMA Industrial Estate,100000
2650.0,4.0,4,4 Bunglows,100000
2090.0,4.0,4,Goregaon,100000
2120.0,4.0,4,4 Bunglows,90000
2065.0,4.0,4,Goregaon,90000
2350.0,4.0,4,Andheri,90000
2090.0,4.0,4,Goregaon,90000
2250.0,3.0,4,Andheri,92000
2120.0,4.0,4,Andheri,90000
2800.0,4.0,4,Andheri,90000
2700.0,4.0,4,Andheri,88000
2900.0,4.0,4,Andheri,95000
2000.0,4.0,4,Powai,110000
2400.0,5.0,4,Powai,110000
3800.0,4.0,4,Goregaon,125000
1850.0,3.0,4,Chembur,115000
3100.0,4.0,4,Ghatkopar,105000
2400.0,4.0,4,Chembur,110000
1800.0,3.0,4,Vikhroli,110000
2525.0,4.0,4,Four Bungalows,110000
2000.0,4.0,4,Chembur,125000
2295.0,4.0,4,Goregaon,110000
1800.0,4.0,4,Chandivali,115000
2100.0,4.0,4,Chembur,125000
3200.0,4.0,4,VileParle,125000
2600.0,3.0,4,Ghatkopar,110000
2475.0,4.0,4,Ghatkopar,105000
2090.0,4.0,4,BEST Housing Colony,115000
1350.0,4.0,4,Santacruz,120000
1950.0,4.0,4,Andheri,125000
1850.0,3.0,4,Parel,125000
2200.0,4.0,4,Goregaon,120000
2100.0,3.0,4,Goregaon,120000
1995.0,4.0,4,Andheri,120000
2200.0,4.0,4,CAMA Industrial Estate,105000
2900.0,5.0,4,Chembur,115000
2600.0,3.0,4,Chembur,125000
2500.0,3.0,4,Andheri,125000
2326.0,3.0,4,4 Bunglows,125000
2920.0,4.0,4,Ghatkopar,118000
1850.0,4.0,4,Oshiwara,125000
2365.0,4.0,4,Powai,120000
2044.0,4.0,4,Andheri,120000
2350.0,4.0,4,Powai,115000
2700.0,6.0,4,Powai,125000
3000.0,4.0,4,Chembur,110000
2200.0,4.0,4,Udyog Nagar,120000
2700.0,4.0,4,Unnat Nagar,112000
2400.0,4.0,4,Chembur,112000
2000.0,4.0,4,Andheri,120000
